name,ra,dec,l,b,pmra,pmdec,median_member_parallax,median_member_RV,x,y,z,u,v,w,rho,phi,z_cyl,v_rho,v_phi,v_z
OCSN_100,242.72133493,-19.38334114,354.47965913,22.95,-8.64069949,-24.32894341,7.18652141,-7.18004,127.54466947293962,-12.326856506474636,54.249017575662954,-5.5290174921316515,-15.236855453422024,-8.879864734582359,8.12230218493581,359.9130433132385,0.07472744266727448,-5.8973110636281705,229.7544771052583,-1.6159269767488063
PHOC_40,287.72139775,14.0045922,47.58997263,2.13,-1.73986216,-9.60731927,2.99360936,20.333568,225.1348589697647,246.46749146975964,12.412883942101525,24.72426597678463,5.166287478912415,-3.80982756936935,8.028592130021805,1.7591817795709517,0.03264591548396942,-28.117935531490794,251.14782382630452,3.377892371153136
Platais_3,68.4056132,71.48936129,138.72053885,15.82,3.76713715,-20.6811704,5.574134645,7.512481,-129.71557738328292,113.87555784957935,48.893783436786734,-17.47835024585691,-5.26415831326726,-6.545124669196218,8.380339367713878,0.7785833213471278,0.07002065003528643,9.65183421906422,239.62683834370299,0.7489300008060358
Platais_8,136.89483575,-59.30881905,277.6513625,-7.924,-16.23794509,13.7426203,7.40842374,20.9333275,17.800485030148565,-132.50225091406813,-18.609033985419167,-10.636887131123453,-22.088889421271904,-4.735641111560307,8.233286645435125,359.07787166719856,0.0021459774574492984,-4.038550735770353,222.87499728555247,2.541144153165151
Platais_9,138.32068636,-43.55757013,266.68090831,3.438,-24.55924413,13.30087256,5.38275558,16.1266955,-10.736602036504204,-185.1330938135192,11.139849108375513,-24.295222027097836,-15.175483924133776,-6.673330144850938,8.262756731757307,358.7161387724734,0.0319665961300167,8.059270780932682,230.06287728559766,0.6378874198735839
Platais_10,205.27895725,-59.1564596,309.2717928,3.102,-29.31193519,-10.78770355,4.12929273,-17.522535,153.07030428872798,-187.20332458796506,13.106594503622315,-38.285315388827264,-9.102178473261889,-6.644323132321516,8.09903493749243,358.6755304701705,0.03352057474810292,21.742064027124787,236.4635956098725,0.7021552154322881
Platais_12,207.9194603,-63.45382482,309.60222827,-1.365,-8.30956456,-5.40913465,2.2266366,-11.865232,286.20435195702373,-345.93423804127195,-10.69777646646915,-22.98276207584782,-3.399389255318649,-6.826879787746107,7.971307491553822,357.5127276216764,0.009380577953344965,1.4038295603920816,241.88945210601912,0.48104842265031983
Pozzo_1,122.37463462,-47.35367097,262.81405717,-7.7,-6.36393772,9.43673891,2.88226132,15.658601,-43.008582332391626,-341.1210271739777,-46.485192792340754,-20.494751920290863,-12.975679102362955,-2.689487362633442,8.300112392069803,357.64457463720765,-0.025577173270434912,-0.14228490624338475,232.21469305790527,4.612144429168145
RSG_4,287.69565386,56.52277694,87.18364802,19.81,-2.48874985,3.73392428,3.0690686449999998,-22.839574,15.061980599797636,306.17364865462486,110.44075937696897,-5.296209158599966,-23.136156283474303,-2.520858484644349,8.24032325546627,2.129344450948878,0.13120290487857458,2.4500352988907115,221.92606098924844,4.742460875287582
RSG_5,303.9087026,45.73801653,82.02120786,5.938,3.64509419,1.59693391,2.961962105,-7.099842,46.61158298206011,332.55175179549525,34.927559357184585,-6.22234875690558,-5.896586675913392,-4.181586326168039,8.21001189506933,2.321436411927948,0.05561048518809985,4.821899099465802,239.10434165911778,3.0840972565300415
RSG_8,345.45296036,59.50879452,109.42476664,-0.457,5.66372844,-1.71570117,2.05261626,-8.257218,-162.01676106280212,459.4375518390578,-3.8859353878983116,-6.9523271561159845,-11.28288971480807,-8.907108337700462,8.424536588044406,3.1262143990083757,0.017322997435515682,8.626817853132488,233.59429017156404,-1.6395782665411132
Renou_23,84.52613546,57.10841925,154.92383961,13.35,-3.25543054,-3.9893691,2.08000741,-6.735727,-423.68925214337565,198.25561870035298,110.99339471072605,1.8599541168638343,-5.5224891397972105,-12.211642733443634,8.675647388901716,1.3094368450758225,0.13286093712876829,-7.453256831190748,239.71044706375292,-4.966298741084335
Roslund_6,307.5933066,40.35590523,79.12944705,0.659,5.94979624,2.13036343,2.83373732,-8.1963,66.54754672108464,346.5355793337383,4.05898822718023,-10.115754183639236,-6.3332470827784615,-6.042216378923127,8.190749814907551,2.4248024701428506,0.024691798303685838,9.129371433306455,238.49406974858528,1.2332829985108849
Ruprecht_98,179.71142295,-64.61283405,297.33078733,-2.315,-4.30392821,-8.4756324,2.0891096,-5.298622,219.59231248773506,-424.8919699068274,-19.33148631879457,-7.851042122544017,2.8481201849195164,-20.581216975202455,8.04166399126592,356.97129002150297,0.0009146274569881641,-16.288050674885007,247.33303519737015,-13.311364555009924
Ruprecht_147,289.14078193,-16.26885181,21.01159074,-12.78,-0.94930232,-26.67227184,3.25603743,41.731331999999995,279.5975508750387,107.39234521179453,-67.94026319502133,47.71412856682147,-20.030791138395944,-23.947522313191833,7.971271658609842,0.7719351899022797,-0.0478444145581903,-55.717407838347114,225.74033453253244,-16.817704808210856
Sigma_Orionis,84.70986394,-2.6097557,206.83665469,-17.32,1.47999041,-0.60964801,2.49564717,27.942305,-341.3296677531639,-172.69219277211707,-119.28992091567493,-23.269270005991793,-14.384151478428786,-6.453970067692485,8.593338490356137,358.84850670284663,-0.09762971952059311,7.548555457689614,230.81418714502811,0.8546627869209246
Stephenson_1,283.57834457,36.88066358,66.89322788,15.35,1.12088982,-3.01778349,2.79017663,-18.47996,135.63466415697835,317.8869000742396,94.87831888400603,-2.928587001128234,-17.05123200051716,-8.491308494118512,8.120324721598383,2.2435331562146814,0.11533671423538966,0.7797561151330947,228.0931003038031,-1.233927145414225
